huka,expediture_type,fc3,doc_type,total_forecasted_value,total_forecasted_value_no_resid,actual_2023,actual_2024,actual_2025
7000,10,700,RV,11837911.5,0.0,46286683.5,18771309.0,4904514.0
7000,10,800,KG,0.0,-29.40892111772976,13864.16,0.0,0.0
7000,10,800,RV,2725728.1822897587,983556.788979212,11023153.48,17042367.92,13801451.16
7000,10,803,RV,261843.50747064734,72636.8159785667,0.0,54406.799999999996,74123.98
7000,10,1102,RV,6506718.834999998,0.0,0.0,8821702.0,4191735.6700000004
7000,10,1200,KG,1251331.6666666667,0.0,0.0,2258751.0,1124108.0
7000,10,1200,RV,2029050.0672208043,2029050.0672208043,8307692.4,3076923.2,0.0
7000,10,1200,SA,81360.0,0.0,78420.0,81360.0,0.0
7000,10,1200,ZC,2424485.214585687,2424485.214585687,4908599.0,4348044.0,2794591.0
7000,10,1401,DR,12323285.303556291,12323285.303556291,24905750.0,5806200.0,10570200.0
7000,10,1401,KR,0.0,0.0,-32350.0,-101650.0,0.0
7000,10,1401,RV,24662494.016895242,19961908.46490464,10713732.49,3551595.0,12877140.0
7000,10,1401,SA,-1100.0,0.0,3503300.0,0.0,-1100.0
7000,10,1500,DG,0.0,0.0,-71697.0,-7364.0,0.0
7000,10,1500,DR,55960.5,0.0,143394.0,67071.0,44850.0
7000,10,1500,RV,0.0,-994.7419382093158,250107.8,20274.0,0.0
7000,10,1600,RV,0.0,0.0,5925.0,0.0,0.0
7000,10,1701,RV,5657188.361927526,5672655.692860143,5960022.46,6322499.5200000005,6587607.78
7000,10,1703,DG,0.0,0.0,-1823.0,0.0,0.0
7000,10,1703,DR,39736.020969915015,39736.020969915015,112703.37,56777.5,36840.25
7000,10,1703,KR,-690.0,0.0,0.0,-11682.0,-690.0
7000,10,1703,SA,-900.0,0.0,4419.55,-338.0,-900.0
7000,10,1900,DG,-196301.44,0.0,-1070.0,-1164.0,-196301.44
7000,10,1900,DR,143952.37325165473,143952.37325165473,1907019.1,1312366.54,4125987.09
7000,10,1900,KG,21006.489799317544,21006.489799317547,15800.0,23600.0,23200.0
7000,10,1900,KR,-13640.0,0.0,-1643.0,-1426.0,-13640.0
7000,10,1900,RV,194972.79138620163,209411.71715982226,675012.16,639723.21,759090.4199999999
7000,10,1900,SA,0.0,-42482.12430575956,576317.28,-48431.0,35094.44
7000,10,1902,RV,11560663.089898987,0.0,20759488.0,14991880.49,12617540.69
7000,10,1903,KR,0.0,0.0,-20000.0,0.0,0.0
7000,10,1903,RV,1176917.43,0.0,2555932.31,1195464.99,2804144.0
7000,10,2000,RV,1829937.9349999998,0.0,0.0,2113020.04,1546855.83
7000,10,2001,DR,505499.1256135375,505499.1256135375,764721.43,1202145.02,872665.0
7000,10,2001,ZW,48773.70666666666,0.0,39263.27,44361.07,51800.05
